Product Name,Prices,Descriptions,Rating
"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,199","White Opal, True Wireless",4.1
TECHFIRE Fire 500v2 Neckband hi-bass Wireless Bluetooth...,₹300,"Blue, In the Ear",3.8
Techio Earbuds Bluetooth,₹299,"White, True Wireless",3.8
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...","₹1,099","Green, In the Ear",4.3
"ZEBRONICS BRO With In-Line Mic 3.5mm Jack, 10mm drivers...",₹139,"Blue, In the Ear",3.7
"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹799,"Black, True Wireless",4
TECHFIRE T60 Bullets Wireless Z Bass Edition Neckband h...,₹300,"Acoustic Red, In the Ear",3.6
"Mivi Duopods I6, 55Hrs PT, HD Call, Fast Charging, 3D S...",₹699,"Blue, True Wireless",3.9
TECHFIRE BoomBuds TWS Earbuds with Bluetooth,₹300,"Black, True Wireless",3.5
DSSB Earbuds With Premium Quality Sound Bluetooth,₹299,"Black, True Wireless",3.6
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",₹799,"Green, True Wireless",4.1
Aroma NB119 Pro Belief Upto 48H Playtime* Fast Charging...,₹289,"Black, In the Ear",3.6
"boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers,...",₹799,"Dark Cyan, In the Ear",4
F FERONS Wireless rechargeable brand new portable Premi...,₹388,"Black, Stereo Channel",3.9
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...","₹1,099","Black, In the Ear",4.3
"ZEBRONICS Zeb-Jet� Premium Headphone,LED Headband,Suspe...",₹699,"Black + Blue, On the Ear",3.9
"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm...",₹699,"Green Stone, In the Ear",3.7
Aroma NB138 Ascrow 32dB Active Noice Cancellation 70H* ...,₹480,"Midnight Black, In the Ear",3.9
"Earboss 4 Mics Auto AI ENC , 120 HRS Playback Bluetooth",₹489,"Black, In the Ear",3.8
MZ M423SP (PORTABLE HOME TV) Dynamic Thunder Sound 2400...,₹636,"Black, Stereo Channel",3.9
"Boult Z40 with Zen ENC Mic, 60H Battery Life, Low Laten...",₹999,"White, Grey, In the Ear",4.1
"TRIGGR Kraken X4 with 13mm Drivers, 40ms Latency, ENC, ...",₹899,"Army Green, True Wireless",4
OnePlus Bullets Wireless Z2 Bluetooth,"₹1,599","Magico Black, In the Ear",4.3
"realme Buds Wireless 3 Neo with 13.4mm Driver, 32 hrs P...","₹1,099","Blue, In the Ear",4.3
"Number Navo Buds X1 w/ 50H Playtime, Dual Pairing, 13mm...",₹599,"Black Sun, In the Ear",3.7
"Boult Z60 with 60Hr Battery, Quad Mic ENC, 50ms Ultra L...",₹799,"Raven Black, True Wireless",4.1
"Boult W20 with Zen ENC Mic,40H Battery Life,Low Latency...",₹799,"Space Black, True Wireless",4.1
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...",₹999,"Cobalt Blue, On the Ear",4.1
"boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers,...",₹799,"Jet Black, In the Ear",4
"PTron Bassbuds Vibe w/ 34 Hrs Playback,Clear Calls,13mm...",₹599,"Black, True Wireless",4.1
"Boult W40 with Quad Mic ENC, 48H Battery Life, Low Late...","₹1,099","Electric Black, True Wireless",4.1
"Aroma NB120 Amaze Upto 50 Hours* Playtime, Fast Chargin...",₹299,"Beam Blue, In the Ear",3.7
MZ M412SP (PORTABLE) Dynamic Thunder Sound With High Ba...,₹283,"Multicolor, Stereo Channel",4.1
"realme Buds T310 with 12.4mm Driver, 46dB ANC, Spatial ...","₹2,199","Vibrant Black, True Wireless",4.3
"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",₹799,"Red, True Wireless",4
"Boult Y1 with Zen ENC Mic, 50H Battery, Fast Charging, ...",₹799,"Black, True Wireless",4.1
"TRIGGR Trinity 2 with Dual Pairing, ENC, Fast Charge, 5...",₹999,"Jungle Green, On the Ear",4.1
